wikiStats|sl

redirects|4004
r|Predloga:Further2|Predloga:Glej2
r|Predloga:Hang on/notice|Predloga:Počakaj/notice
r|Predloga:Podatki države Nemška demokratična republika|Predloga:Podatki države Vzhodna Nemčija
r|Predloga:Infobox artery|Predloga:Infopolje Arterija
r|Predloga:Number table sorting/negative|Predloga:Sortiranje številčne tabele/negative
r|Predloga:Podatki države SCG|Predloga:Podatki države Srbija in Črna gora
r|Predloga:OAS|Predloga:Organizacija ameriških držav (OAS)
r|Predloga:Drugi pomeni2|Predloga:Drugipomeni2
r|Predloga:Dabnav|Predloga:Razvigacija
r|Predloga:Infobox Former Country|Predloga:Infopolje Bivša država
r|Predloga:Izbrano/51. teden 2011|Predloga:Izbrano/50. teden 2011
r|Predloga:Brezsklicev/dok|Predloga:Brez sklicev/dok
r|Predloga:Multiple image/dok|Predloga:Več slik/dok
r|Predloga:Podatki države Montenegro|Predloga:Podatki države Črna gora
r|Predloga:Afd3|Predloga:Pzb3
r|Predloga:Infobox map|Predloga:Infopolje Zemljevid
r|Predloga:User da-2|Predloga:Uporabnik da-2
r|Predloga:Minor Planet|Predloga:Infopolje Planet
r|Predloga:Literat-stub|Predloga:Škrbina o književniku
r|Predloga:Infobox Album|Predloga:Infopolje Album
r|Predloga:Portal category|Predloga:Kategorija portalov
r|Predloga:Infobox RKC skofija|Predloga:Infopolje Škofija RKC
r|Predloga:Unsigned|Predloga:Nepodpisani
r|Predloga:CalendarSingle|Predloga:CalendarCustom
r|Predloga:F1 cars 1974|Predloga:Dirkalniki F1 1974
r|Predloga:Convert/Dual/LoffAonDbSoffT|Predloga:Convert/Dual/LoffAoffDxSoffT
r|Predloga:Infopolja organizacij|Predloga:Infopolja za organizacije
r|Predloga:Lokacijska karta Greater Johannesburg|Predloga:Predloga:Lokacijska karta Južna Afrika Gauteng Greater Johannesburg
r|Predloga:Pojasnilo o predlogi za slike|Predloga:Pojasnilo o predlogi slik
r|Predloga:Imdb ime|Predloga:IMDb-ime
r|Predloga:Wikiquote2|Predloga:Wikinavedek
r|Predloga:Clade|Predloga:Klad
r|Predloga:PD-old|Predloga:JL-staro
r|Predloga:Lokacija fotoaparata|Predloga:Lokacija
r|Predloga:Lang-ru|Predloga:Jezik-ru
r|Predloga:Navbar-header|Predloga:Prednavmeni-glava
r|Predloga:Number table sorting/frac|Predloga:Sortiranje številčne tabele/frac
r|Predloga:Coord/prec dec|Predloga:Koord/prec dec
r|Predloga:Hr ikona|Predloga:Ikona hr
r|Predloga:Lua talk|Predloga:Lua
r|Predloga:Kraljeva hiša|Predloga:Infopolje Kraljeva hiša
r|Predloga:Izbrano/20. teden 2009|Predloga:Izbrano/19. teden 2009
r|Predloga:Politics of Hungary|Predloga:Politika Madžarske
r|Predloga:Izbrano/33. teden 2011|Predloga:Izbrano/32. teden 2011
r|Predloga:Country data England|Predloga:Podatki države Anglija
r|Predloga:Navedek/doc|Predloga:Navedek/dok
r|Predloga:Biostub|Predloga:Bio-škrbina
r|Predloga:Disambiguation|Predloga:Razločitev
r|Predloga:Korean name|Predloga:Ime in priimek korejske osebe
r|Predloga:Podatki države IND|Predloga:Podatki države Indija
r|Predloga:Copyedit|Predloga:Lektura
r|Predloga:Football club infobox|Predloga:Infopolje Nogometni klub
r|Predloga:Podatki države United States|Predloga:Podatki države Združene države Amerike
r|Predloga:Izbrano/9. teden 2013|Predloga:Izbrano/8. teden 2013
r|Predloga:Podatki države GDR|Predloga:Podatki države Vzhodna Nemčija
r|Predloga:Wikipedia how to|Predloga:Wikipedija kako
r|Predloga:Handball-bio-stub|Predloga:Škrbina o rokometašu
r|Predloga:USpresidents|Predloga:Predsedniki ZDA
r|Predloga:Solstice-equinox|Predloga:Solsticij-enakonočje
r|Predloga:Davis Cup|Predloga:Davisov pokal
r|Predloga:High-use|Predloga:Velika uporaba
r|Predloga:Dl-jezik|Predloga:DL-jezik
r|Predloga:Navedi pmid/18661430|Predloga:Navedi doi/10.1080.2F02841860802282794
r|Predloga:Infobox language|Predloga:Infopolje Jezik
r|Predloga:Podatki države TUV|Predloga:Podatki države Tuvalu
r|Predloga:Bs icon|Predloga:Ikona bs
r|Predloga:Lang-kk|Predloga:Jezik-kk
r|Predloga:Podatki države Prefektura Aichi|Predloga:Podatki države Aiči
r|Predloga:Fooian fooers|Predloga:N-jevski n-jevci
r|Predloga:Izbrano/53. teden 2012|Predloga:Izbrano/52. teden 2012
r|Predloga:Infobox Bone|Predloga:Infopolje Kost
r|Predloga:Imbox|Predloga:Polje za slike
r|Predloga:Opozorilno polje/dok|Predloga:Polje/dok
r|Predloga:Podatki države MON|Predloga:Podatki države Monako
r|Predloga:Lang-ga|Predloga:Jezik-ga
r|Predloga:MTN|Predloga:MRT
r|Predloga:Podatki države Guatemala|Predloga:Podatki države Gvatemala
r|Predloga:Stublist|Predloga:Škrbinski seznam
r|Predloga:Convert/LinAonDoutput onlySon|Predloga:Convert/LoffAonDoutput onlySon
r|Predloga:Lang-ja|Predloga:Jezik-ja
r|Predloga:Podatki države CEY|Predloga:Podatki države Cejlon
r|Predloga:URU|Predloga:URY
r|Predloga:Infobox OS|Predloga:Infopolje Operacijski sistem
r|Predloga:Podatki države SČG|Predloga:Podatki države Srbija in Črna gora
r|Predloga:Podatki države Sweden|Predloga:Podatki države Švedska
r|Predloga:Podatki države BAH|Predloga:Podatki države Bahami
r|Predloga:User sv|Predloga:Uporabnik sv
r|Predloga:Provinces of Bulgaria|Predloga:Okraji Bolgarije
r|Predloga:SEY|Predloga:SYC
r|Predloga:Country bigflag|Predloga:Država velikazastavadržave
r|Predloga:LangWithName|Predloga:JezikIme
r|Predloga:Other category header templates|Predloga:Kategorija imenskega prostora
r|Predloga:Country flagcountry|Predloga:Država zastavadržave
r|Predloga:Podatki države Bahamas|Predloga:Podatki države Bahami
r|Predloga:Podatki države Algeria|Predloga:Podatki države Alžirija
r|Predloga:User hu-2|Predloga:Uporabnik hu-2
r|Predloga:Podatki države União de Nações Sul-Americanas|Predloga:Podatki države Južnoameriška skupnost narodov
r|Predloga:Podatki države Pennsylvania|Predloga:Podatki države Pensilvanija
r|Predloga:Multiple image|Predloga:Več slik
r|Predloga:Drugi pomeni 4|Predloga:Drugipomeni4
r|Predloga:Izbrano/50. teden 2007|Predloga:Izbrano/48. teden 2007
r|Predloga:Template sandbox notice|Predloga:Obvestilo o peskovniku predloge
r|Predloga:Podatki države Kingdom of Yugoslavia|Predloga:Podatki države Kraljevina Jugoslavija
r|Predloga:Nothing|Predloga:Nič
r|Predloga:Seznam referenc|Predloga:Sklici
r|Predloga:Podatki države Mexico|Predloga:Podatki države Mehika
r|Predloga:Death date|Predloga:Datum smrti
r|Predloga:Convert/to(-)/AonSoff|Predloga:Convert/-/AonSoff
r|Predloga:Juventus F.C. squad|Predloga:Juventus Squad
r|Predloga:Ste vedeli/32. teden 2008|Predloga:Ste vedeli/31. teden 2008
r|Predloga:Koor/dms2dec|Predloga:Koord/dms2dec
r|Predloga:Flag icon|Predloga:Ikonazastave
r|Predloga:Da-naselje-stub|Predloga:Dk-naselje-stub
r|Predloga:Podatki države Latvia|Predloga:Podatki države Latvija
r|Predloga:IPA-en|Predloga:IPAEng
r|Predloga:Podatki države Georgia|Predloga:Podatki države Gruzija
r|Predloga:Talk header|Predloga:Pogovor-glava
r|Predloga:Podatki države Valencian Community|Predloga:Podatki države Valencija
r|Predloga:Chinese name|Predloga:Ime in priimek kitajske osebe
r|Predloga:Lokacijska karta Malaysia|Predloga:Lokacijska karta Malezije
r|Predloga:Biologija-noga|Predloga:Biologija-navigacija
r|Predloga:Infobox aircraft begin|Predloga:Infopolje Zrakoplov - glava
r|Predloga:Ancient Mesopotamia|Predloga:Antična Mezopotamija
r|Predloga:SPvHnLD12009 - cro-auseeeeee|Predloga:SPvHnLD12009 - cro-aus
r|Predloga:Asof|Predloga:As of
r|Predloga:Aircraft specs/doc|Predloga:Specifikacije letala/dok
r|Predloga:F1 race|Predloga:VN Formule 1
r|Predloga:Cite news|Predloga:Navedi novice
r|Predloga:River-stub|Predloga:Reka-stub
r|Predloga:Podatki države East Germany|Predloga:Podatki države Vzhodna Nemčija
r|Predloga:User hr-1|Predloga:Uporabnik hr-1
r|Predloga:Lorem|Predloga:Lorem Ipsum
r|Predloga:Doc|Predloga:Dokumentacija
r|Predloga:Podatki države IRI|Predloga:Podatki države Iran
r|Predloga:Dodaj sklice|Predloga:Več sklicev
r|Predloga:Side box|Predloga:Stranski okvirček
r|Predloga:Podatki države CIV|Predloga:Podatki države Slonokoščena obala
r|Predloga:Slika/14. teden 2012|Predloga:Slika/12. teden 2012
r|Predloga:Convert/LoffAoutDoutput onlySon|Predloga:Convert/LoffAonDoutput onlySon
r|Predloga:Eliteprospectsteams|Predloga:Eliteprospects klub
r|Predloga:Navedi teze|Predloga:Navedi disertacijo
r|Predloga:Wrap|Predloga:Prelom
r|Predloga:SPvHnLD12009 - jpn-sloeeffff|Predloga:SPvHnLD12009 - jpn-slo
r|Predloga:Podatki države NEP|Predloga:Podatki države Nepal
r|Predloga:Podatki države Philippines|Predloga:Podatki države Filipini
r|Predloga:Infopolje univerza|Predloga:Infopolje Univerza
r|Predloga:Province of Turin|Predloga:Pokrajina Torino
r|Predloga:Infopolje zemljevid|Predloga:Infopolje Zemljevid
r|Predloga:Citation style|Predloga:Slog navajanja
r|Predloga:Podatki države MTQ|Predloga:Podatki države Martinik
r|Predloga:Uporaba družine Zamik|Predloga:Uporaba družine zamikov
r|Predloga:User php-2|Predloga:Uporabnik php-2
r|Predloga:Category template|Predloga:Kategorija predlog
r|Predloga:Podatki države JAM|Predloga:Podatki države Jamajka
r|Predloga:Infobox Irish Place|Predloga:Infopolje Naselje na Irskem
r|Predloga:Med-stub|Predloga:Medicinska škrbina
r|Predloga:Podatki države CM|Predloga:Podatki države Kamerun
r|Predloga:Urejeno|Predloga:Opravljeno
r|Predloga:Briši|Predloga:Briši ker
r|Predloga:Infopolje časopis|Predloga:Infopolje Časopis
r|Predloga:Country flagcountry2|Predloga:Država zastavadržave2
r|Predloga:User pas-3|Predloga:Uporabnik pas-3
r|Predloga:BAH|Predloga:BHS
r|Predloga:Number table sorting/Qno/Fyes/Sno/1|Predloga:Sortiranje številčne tabele/Qno/Fyes/Sno/1
r|Predloga:Podatki države Bahrain|Predloga:Podatki države Bahrajn
r|Predloga:Infobox Bezirk in Österreich/Kennziffer|Predloga:Infopolje Okraj v Avstriji/Kennziffer
r|Predloga:Navigation templates|Predloga:Navigacijske predloge
r|Predloga:Podatki države BGD|Predloga:Podatki države Bangladeš
r|Predloga:Interwiki-all|Predloga:Vsi interwikiji
r|Predloga:Infopolje Nogometaš2|Predloga:Infopolje Nogometaš
r|Predloga:Infobox Islands|Predloga:Infopolje Otoki
r|Predloga:Podatki države ZMB|Predloga:Podatki države Zambija
r|Predloga:Coord/link|Predloga:Koord/povezava
r|Predloga:Brezpreloma|Predloga:Brez preloma
r|Predloga:CEFTA|Predloga:Srednjeevropski sporazum o prosti trgovini
r|Predloga:•|Predloga:·
r|Predloga:Geolinks-US-start|Predloga:Geolinks-start
r|Predloga:Podatki države MOK|Predloga:Podatki države Mednarodni olimpijski komite
r|Predloga:Navedba|Predloga:Citatni blok
r|Predloga:Botanist|Predloga:Botanik
r|Predloga:Physics-footer|Predloga:Fizika-navigacija
r|Predloga:Refimprove|Predloga:Več sklicev
r|Predloga:European Men's Handball Championship|Predloga:Evropska prvenstva v rokometu
r|Predloga:Podatki države MUS|Predloga:Podatki države Mavricijus
r|Predloga:Infobox Biography|Predloga:Infopolje Biografija
r|Predloga:Cite thesis/dok|Predloga:Navedi disertacijo/dok
r|Predloga:Infopolje Jezik/family-color|Predloga:Infopolje Jezik/barva-družine
r|Predloga:Uporabniki Opere|Predloga:Uporabnik Opera
r|Predloga:Podatki države DEN|Predloga:Podatki države Danska
r|Predloga:User Backgammon|Predloga:Uporabnik Backgammon
r|Predloga:Podatki države BHS|Predloga:Podatki države Bahami
r|Predloga:Divbox/style/grey|Predloga:Divbox/style/gray
r|Predloga:Navbox long|Predloga:Navpolje podaljšani
r|Predloga:Policy shortcut|Predloga:Bližnjica pravil
r|Predloga:Footer Movies Joel and Ethan Coen|Predloga:Coen brothers
r|Predloga:Očisti spam|Predloga:Smetenje
r|Predloga:Former F1 team|Predloga:Nekdanje moštvo Formule 1
r|Predloga:Podatki države CMR|Predloga:Podatki države Kamerun
r|Predloga:Country data Honduras|Predloga:Podatki države Honduras
r|Predloga:Infobox Interval|Predloga:Infopolje Interval
r|Predloga:Uporabniška škatla|Predloga:Uporabniško polje
r|Predloga:Podatki države GUY|Predloga:Podatki države Gvajana
r|Predloga:Db-reason|Predloga:Briši ker
r|Predloga:Infobox company|Predloga:Infopolje Podjetje
r|Predloga:Ambox/doc|Predloga:Polje/dok
r|Predloga:Harvnavbo|Predloga:Harvardski navedek brez oklepajev
r|Predloga:Infobox Aircraft Begin|Predloga:Infopolje Zrakoplov - glava
r|Predloga:Aircraft specification|Predloga:Specifikacije letala
r|Predloga:Podatki države GTM|Predloga:Podatki države Gvatemala
r|Predloga:Podatki države Morocco|Predloga:Podatki države Maroko
r|Predloga:Podatki države TLS|Predloga:Podatki države Vzhodni Timor
r|Predloga:US state navigation box|Predloga:Navigacijska predloga zvezne države ZDA
r|Predloga:Oceania|Predloga:Države in ozemlja Oceanije
r|Predloga:Biology-footer|Predloga:Biologija-navigacija
r|Predloga:OTRS|Predloga:OTRS-pogovor
r|Predloga:Pomoč uporabnikom|Predloga:Urejanje
r|Predloga:Skijumping-bio-stub|Predloga:Škrbina o smučarskem skakalcu
r|Predloga:Nanoškrbina|Predloga:Nano-stub
r|Predloga:Protected Areas (Types)|Predloga:Zavarovana območja (Tipi)
r|Predloga:Reqmap|Predloga:Dodaj zemljevid
r|Predloga:Podatki države TAN|Predloga:Podatki države Tanzanija
r|Predloga:ISO 15924 templates|Predloga:ISO 15924 predloge
r|Predloga:Vandal|Predloga:Vandalizem
