wikiStats|et

redirects|443
r|Mall:Infobox ajaleht|Mall:Ajaleht
r|Mall:Infobox Computer Hardware Generic|Mall:Infokast arvuti riistvara
r|Mall:Kopipeist|Mall:Mahakirjutatud
r|Mall:Shortcut|Mall:Otsetee
r|Mall:Keelenõu|Mall:Keelenõuanne
r|Mall:Riik/Saksa LV/lipp|Mall:Riik/Saksamaa/lipp
r|Mall:Caution|Mall:Ettevaatust
r|Mall:Multicol-break|Mall:Veerud-piir
r|Mall:Template doc|Mall:Dokumentatsioon
r|Mall:Maausu pühad|Mall:Maarahva pühad
r|Mall:A-anonüümne|Mall:AO-anonüümne
r|Mall:Kasutaja:Lennukisõit|Mall:Kasutaja:Lennukilend
r|Mall:Keeled/Keelkonnavarv|Mall:Keeled/keelkonnavarv
r|Mall:Move to et.wiki|Mall:KunstiteoseFoto
r|Mall:Eesti meistrivõistlused Kreeka-Rooma maadluses|Mall:Eesti meistrivõistlused kreeka-rooma maadluses
r|Mall:Fact|Mall:Lisa viide
r|Mall:\w|Mall:\wrap
r|Mall:Babel-5|Mall:Babel
r|Mall:User wikipedia/NP Patrol|Mall:Uute lehekülgede patrullija
r|Mall:Taastuvad energiaressurssid|Mall:Taastuvad energiaressursid
r|Mall:Süv|Mall:Sünniaeg ja vanus
r|Mall:Row|Mall:Infokast/rida
r|Mall:PD-author|Mall:AO-autor
r|Mall:Ok|Mall:J
r|Mall:Tnavbar/doc|Mall:Navbar/doc
r|Mall:Infobox planeet|Mall:Infokast planeet
r|Mall:Riik/Põhja-Iiri/lipp|Mall:Riik/Põhja-Iirimaa/lipp
r|Mall:Raudteeliinide loend|Mall:Eesti raudteeliinid
r|Mall:Riik/Saint Vincent/lipp|Mall:Riik/Saint Vincent ja Grenadiinid/lipp
r|Mall:Täpsustus|Mall:Täpsustuslehekülg
r|Mall:Riik/Mississippi/lipp|Mall:Riik/Mississippi osariik/lipp
r|Mall:Infobox ESC entry|Mall:Eurovisiooni lauluvõistlusel osaleja
