wikiStats|ga

redirects|192
p|reiteoir|1
p|foireann2|0
p|staid|1

template|Teimpléad:Bosca sonraí eipeasóid
count|62
properties|11
p|dáta_craolta|62
p|clár|62
p|scríobhneoir|62
p|uimhir_eipeasóid|62
p|cód_táirgeachta|49
p|stiúrthóir|62
p|íomhá|1
p|ainm_eipeasóid|62
p|séasúr|62
p|fotheideal|0
p|eipeasóid_eile|62

template|Teimpléad:Bosca Sonraí Albam
count|116
properties|11
p|ainm|115
p|ceoltóirí|116
p|dáta|116
p|ceannteideal|0
p|íomhá|30
p|fad|109
p|lipéad|116
p|méid_íomhá|46
p|albaim_eile|102
p|léiritheoir|112
p|stíl|107

template|Teimpléad:Bosca Sonraí - Ballaonaid na hÚcráine
count|5
properties|16
p|daonra|5
p|dlús_daonra|5
p|bratach|4
p|teidil_na_gceannairí_1|5
p|armas|5
p|príomhchathair|5
p|líonláithreán|5
p|teangacha|5
p|ainmneacha_na_gceannairí_2|3
p|bliain_an_mheastacháin_daonra|5
p|ainmneacha|5
p|stádas|5
p|ainmneacha_na_gceannairí_1|5
p|léarscáil|5
p|teidil_na_gceannairí_2|3
p|achar|5

template|Teimpléad:Bosca Comharbais
count|1
properties|4
p|dátaí|1
p|roimhe|1
p|leanúint|1
p|teideal|1

template|Teimpléad:Bosca Sonraí - Ballaonaid na Mongóile
count|10
properties|10
p|daonra|10
p|dlús_daonra|10
p|bratach|10
p|armas|10
p|príomhchathair|10
p|líonláithreán|10
p|bliain_an_mheastacháin_daonra|10
p|ainmneacha|10
p|léarscáil|10
p|achar|10

template|Teimpléad:Bosca spóirt
count|1
properties|10
p|scór|1
p|freastal|1
p|réiteoir|0
p|dáta|1
p|foireann1|1
p|scórálaithe1|0
p|report|0
p|foireann2|1
p|staid|1
p|scórálaithe2|0

template|Teimpléad:Dáil Éireann Constituency
count|1
properties|20
p|td2|1
p|party4|1
p|party1|1
p|name|1
p|party7|0
p|td3|1
p|party2|1
p|td6|0
p|party5|1
p|td7|0
p|td8|0
p|td4|1
p|party6|0
p|party9|0
p|td9|0
p|party3|1
p|seats|1
