wikiStats|fr

redirects|11592
r|Modèle:Portail Botanique|Modèle:Portail botanique
r|Modèle:Country data MRI|Modèle:Country data Maurice
r|Modèle:Palette Ruban d'argent réalisateur|Modèle:Palette Ruban d'argent du meilleur réalisateur
r|Modèle:Palette Conflit arabo-sioniste en Palestine mandataire|Modèle:Palette Conflit judéo-arabe en Palestine mandataire
r|Modèle:Koweit|Modèle:Koweït
r|Modèle:Sommaire compact/Documentation|Modèle:Sommaire alphabétique/Documentation
r|Modèle:Carte/Appenzell Rhodes-Extérieures|Modèle:Carte/Canton d'Appenzell Rhodes-Extérieures
r|Modèle:Country data Pitcairn|Modèle:Country data Îles Pitcairn
r|Modèle:Dernière version avancée/OpenOffice.org Math|Modèle:Dernière version avancée/OpenOffice.org
r|Modèle:XIXe mop|Modèle:Icône France au XIXe siècle
r|Modèle:Portail Empire byzantin|Modèle:Portail monde byzantin
r|Modèle:MDA|Modèle:Moldavie
r|Modèle:Ébauche/paramètres cycle des inhibiteurs|Modèle:Ébauche/paramètres cycle des Inhibiteurs
r|Modèle:User dv-*|Modèle:Utilisateur dv-*
r|Modèle:KY|Modèle:Îles Caïmans
r|Modèle:Taxoessai phylogénie bandeau/Documentation|Modèle:Taxobox phylogénie bandeau/Documentation
r|Modèle:User ga-0|Modèle:Utilisateur ga-0
r|Modèle:Fâché|Modèle:Grr
r|Modèle:Ligne Filiovskaya|Modèle:Ligne Filiovskaïa
r|Modèle:Utilisateur Le Havre|Modèle:Utilisateur habite Le Havre
r|Modèle:GG|Modèle:Guernesey
r|Modèle:Palette Open de Belgrade|Modèle:Palette Tournoi de tennis de Belgrade (ATP)
r|Modèle:Country data Royaume d’Araucanie et de Patagonie|Modèle:Country data Royaume d'Araucanie et de Patagonie
r|Modèle:Géolocalisation/IJsselmeer|Modèle:Géolocalisation/Zuiderzee
r|Modèle:Palette Olse Merksem HC navigation|Modèle:Palette Olse Merksem navigation
r|Modèle:Catégorie Flandre|Modèle:Catégorie Région flamande
r|Modèle:Palette Équipe de Taïwan de football|Modèle:Palette Équipe de Taipei chinois de football
r|Modèle:Ébauche/paramètres Saint-Pétersbourg|Modèle:Ébauche/paramètres Russie
r|Modèle:ROU (1948-1952)|Modèle:Roumanie (1948-1952)
r|Modèle:IRQ (1991-2004)|Modèle:Irak (1991-2004)
r|Modèle:Country data URU|Modèle:Country data Uruguay
r|Modèle:Portail vin|Modèle:Portail vigne et vin
r|Modèle:Utilisateur Maastricht|Modèle:Utilisateur habite Maastricht
r|Modèle:Notif d|Modèle:Notif discret
r|Modèle:User ml-4|Modèle:Utilisateur ml-4
r|Modèle:Country data République de Chine|Modèle:Country data Taïwan
r|Modèle:Modèles basés continent|Modèle:Modèles liés continent
r|Modèle:Catégorie années 1150|Modèle:Catégorie Moyen Âge
r|Modèle:Utilisateur électronique|Modèle:Utilisateur compose musique électronique
r|Modèle:Infobox modulaire/Fin|Modèle:Infobox/Fin
r|Modèle:Ébauche/paramètres NYC|Modèle:Ébauche/paramètres New York City
r|Modèle:Country data CPV|Modèle:Country data Cap-Vert
r|Modèle:Intro courte|Modèle:Résumé introductif trop court
r|Modèle:Bus Optile/KVO/couleur texte/Documentation|Modèle:Bus Optile/défaut/couleur texte/Documentation
r|Modèle:User uz|Modèle:Utilisateur uz
r|Modèle:New Zealand Māori rugby|Modèle:Māori rugby
r|Modèle:Province de Santa Cruz de Ténérife|Modèle:Province de Santa Cruz de Tenerife
r|Modèle:Portail Phycologie|Modèle:Portail phycologie
r|Modèle:User gil-3|Modèle:Utilisateur gil-3
r|Modèle:Données//informations générales|Modèle:Données/Dunkerque/informations générales
r|Modèle:Portail Années 1840|Modèle:Portail années 1840
r|Modèle:Country data SHN|Modèle:Country data Île Sainte-Hélène
r|Modèle:Nord-Vietnam|Modèle:République démocratique du Viêt Nam
r|Modèle:Palette Hambourg SV navigation|Modèle:Palette Hambourg SV
r|Modèle:Ébauche/paramètres Cherbourg|Modèle:Ébauche/paramètres Cherbourg-Octeville
r|Modèle:Portail colonial|Modèle:Portail monde colonial
r|Modèle:Country data Congo-Brazzaville|Modèle:Country data République du Congo
r|Modèle:Portail Pentathlon moderne|Modèle:Portail pentathlon moderne
r|Modèle:MNE water polo|Modèle:MNE water-polo M
r|Modèle:Ébauche/paramètres Construction|Modèle:Ébauche/paramètres construction
r|Modèle:MOL|Modèle:Moldavie
r|Modèle:Country data JPN|Modèle:Country data Japon
r|Modèle:Thumb2|Modèle:Double image
r|Modèle:User grc-2|Modèle:Utilisateur grc-2
r|Modèle:CURRENTDATE|Modèle:Aujourd'hui
r|Modèle:Catégorie Entreprises|Modèle:Catégorie entreprises
r|Modèle:Country data Nord Viêt Nam|Modèle:Country data Viêt Nam du Nord
r|Modèle:User bn|Modèle:Utilisateur bn
r|Modèle:Ébauche/paramètres Parc de loisirs|Modèle:Ébauche/paramètres parc de loisirs
r|Modèle:Portail Préfecture de Yamaguchi|Modèle:Portail préfecture de Yamaguchi
r|Modèle:Intifada|Modèle:Frise Intifada
r|Modèle:Catégorie Avenir wikipédia|Modèle:Catégorie Avenir Wikipédia
r|Modèle:Portail Assainissement|Modèle:Portail assainissement
r|Modèle:Saison cyclonique 2003 (Atlantique nord)|Modèle:Saison cyclonique 2003 dans l'océan Atlantique Nord
r|Modèle:Élections législatives grecques de 2009|Modèle:Résultats élections législatives grecques de 2009
r|Modèle:Utilisateur réunification corée|Modèle:Utilisateur réunification Corée
r|Modèle:Ligne de tableau LP|Modèle:Ligne de tableau LPC
r|Modèle:Élément/Sélénium|Modèle:Infobox Élément/Sélénium
r|Modèle:Palette Liste de films tournés dans les départements Français|Modèle:Palette Liste de films tournés dans les départements français
r|Modèle:Guilde|Modèle:QT
r|Modèle:Palette Lycées marocain|Modèle:Palette Lycées marocains
r|Modèle:Carte/Modèle:Géolocalisation/Ville de Košice|Modèle:Carte/Košice
r|Modèle:SUR|Modèle:Suriname
r|Modèle:Grand Paris Express/stations ligne orange|Modèle:Grand Paris Express/gares ligne orange
r|Modèle:Ébauche/paramètres Astronautique|Modèle:Ébauche/paramètres astronautique
r|Modèle:BOT|Modèle:Botswana
r|Modèle:User sl-*|Modèle:Utilisateur sl-*
r|Modèle:Données/Baerenthal/évolution population|Modèle:Données/Bærenthal/évolution population
r|Modèle:Ébauche/paramètres Marine impériale allemande|Modèle:Ébauche/paramètres Kaiserliche Marine
r|Modèle:Country data YUG|Modèle:Country data Yougoslavie
r|Modèle:Ébauche/paramètres Hospitaliers|Modèle:Ébauche/paramètres ordre de Saint-Jean de Jérusalem
r|Modèle:Géolocalisation/Sud-Soudan|Modèle:Géolocalisation/Soudan du Sud
r|Modèle:Country data BAR|Modèle:Country data Barbade
r|Modèle:Géolocdual/Nouvelle-Calédonie (détail)|Modèle:Géolocdual/Nouvelle-Calédonie
r|Modèle:Catégorie années 1540|Modèle:Catégorie Renaissance
r|Modèle:Déco PAOCB|Modèle:Déco Palmes d'argent de l'ordre de la Couronne (Belgique)
r|Modèle:Mémoire|Modèle:Base Mémoire
r|Modèle:Ibid|Modèle:Ibid.
r|Modèle:Utilisateur marraine volontaire|Modèle:Utilisateur Marraine volontaire
r|Modèle:Portail Collections|Modèle:Portail collections
r|Modèle:User av-0|Modèle:Utilisateur av-0
r|Modèle:Ébauche/paramètres SIB|Modèle:Ébauche/paramètres sciences de l'information et des bibliothèques
r|Modèle:Utilisateur suporte Pyunik Erevan|Modèle:Utilisateur supporte Pyunik Erevan
r|Modèle:User nn-0|Modèle:Utilisateur nn-0
r|Modèle:Portail Capitalisme|Modèle:Portail capitalisme
r|Modèle:Portail Sécurité de l'information|Modèle:Portail sécurité de l'information
r|Modèle:Saison de handball|Modèle:Infobox Saison de handball
r|Modèle:Bus Optile/Daniel Meyer/couleur texte/Documentation|Modèle:Bus Optile/défaut/couleur texte/Documentation
r|Modèle:User lt-*|Modèle:Utilisateur lt-*
r|Modèle:Fin de citation|Modèle:Fin citation
r|Modèle:Ébauche/paramètres presse|Modèle:Ébauche/paramètres presse écrite
r|Modèle:Docu|Modèle:Lien vidéo
r|Modèle:Categ Télévision au Chili|Modèle:Categ Chili
r|Modèle:PolitiqueVietnam|Modèle:Palette Politique/Viêt Nam
r|Modèle:FSM|Modèle:Micronésie
r|Modèle:PolitiqueOuganda|Modèle:Palette Politique/Ouganda
r|Modèle:Ébauche/paramètres Mondes normands|Modèle:Ébauche/paramètres mondes normands
r|Modèle:CRI|Modèle:Costa Rica
r|Modèle:Utilisateur Projet/Énergie2|Modèle:Utilisateur Projet/Énergie fossile
r|Modèle:Catégorie Droits de l'homme|Modèle:Catégorie droits de l'homme
r|Modèle:User gd-0|Modèle:Utilisateur gd-0
r|Modèle:Palette Liste des stations de radio en Europe|Modèle:Palette Stations de radio en Europe
r|Modèle:Catégorie Préfecture de Fukushima|Modèle:Catégorie préfecture de Fukushima
r|Modèle:Élément/Terbium|Modèle:Infobox Élément/Terbium
r|Modèle:Taxoessai taxon/Documentation|Modèle:Taxobox taxon/Documentation
r|Modèle:Palette Tenerife|Modèle:Palette Communes de l'île de Tenerife
r|Modèle:Utilisateur PersoPolitique|Modèle:Utilisateur politique même pas peur
r|Modèle:Utilisateur Moselle|Modèle:Utilisateur habite Moselle
r|Modèle:Utilisateur emgann|Modèle:Utilisateur Breizhistance
r|Modèle:Sup|Modèle:Supprimer
r|Modèle:Utilisateur administrateur/en|Modèle:Utilisateur Wikipédia:Administrateur/en
r|Modèle:Harvard|Modèle:Référence Harvard
r|Modèle:Utilisateur Nancy|Modèle:Utilisateur habite Nancy
r|Modèle:Équipe unifiée d’Allemagne|Modèle:Équipe unifiée d'Allemagne
r|Modèle:Op cit|Modèle:Op. cit.
r|Modèle:Carte/Córdoba|Modèle:Carte/Córdoba (Colombie)
r|Modèle:Portail Pornographie|Modèle:Portail pornographie
r|Modèle:Linux mop|Modèle:Icône Linux
r|Modèle:Ebauche/paramètres Céramique|Modèle:Ébauche/paramètres céramique
r|Modèle:Infolettre/Nouvelles franches d'Amérique/initialisation|Modèle:Infolettre/Nouvelles franches d'Amérique/Initialisation
r|Modèle:Niveau jola|Modèle:Niveau diola
r|Modèle:Utilisateur Vichy|Modèle:Utilisateur habite Vichy
