wikiStats|cs

redirects|548
r|Šablona:Diskuse|Šablona:Hlavička diskuse
r|Šablona:Motorová lokomotiva|Šablona:Infobox motorová lokomotiva
r|Šablona:Vláda Roberta Fica|Šablona:První vláda Roberta Fica
r|Šablona:Autoritní kontrola/LCCN|Šablona:Autoritní data/LCCN
r|Šablona:Infobox minerál|Šablona:Infobox - minerál
r|Šablona:Blovice|Šablona:Město Blovice
r|Šablona:Commonsspecies|Šablona:Linkspecies
r|Šablona:Dc|Šablona:Davis cup
r|Šablona:Spoiler start|Šablona:Spoiler
r|Šablona:Premiéři Jugoslávie 1918 - 1945|Šablona:Premiéři Jugoslávie 1918–1945
r|Šablona:Rtl-para|Šablona:Cizojazyčně odstavec
r|Šablona:Vytvořit kategorie podle zemí|Šablona:Vytvořit podkategorie podle zemí
r|Šablona:Disambiguation|Šablona:Rozcestník
r|Šablona:Nositelé Nobelovy ceny za chemii 1926-1950|Šablona:Nositelé Nobelovy ceny za chemii 1926–1950
r|Šablona:Infobox Fotbalista|Šablona:Infobox - fotbalista
r|Šablona:Lidský mozek|Šablona:Mozek
r|Šablona:Vyznamenat/seznam/54040|Šablona:Vyznamenat/seznam/54013
r|Šablona:Wikinews|Šablona:Wikizprávy
r|Šablona:Infobox Spisovatel|Šablona:Infobox - spisovatel
r|Šablona:Pražské metro B|Šablona:Linka B (metro v Praze)
r|Šablona:Anchor|Šablona:Kotva
r|Šablona:Infobox velitelé|Šablona:Infobox Vojenský velitel
r|Šablona:Patti Smithová|Šablona:Patti Smith
r|Šablona:Seznam léčivých rostlin/H|Seznam léčivých rostlin (H)
r|Šablona:LocMap Sasko-Anhaltsko|Šablona:LocMap Německo Sasko-Anhaltsko
r|Šablona:Tlačítko|Šablona:Klikatelné tlačítko
r|Šablona:Samarské metro|Šablona:Metro v Samaře
r|Šablona:Oscar - nejlepší herec ve vedlejší roli 2001-2020|Šablona:Oscar – nejlepší herec ve vedlejší roli 2001–2020
r|Šablona:Esoteric|Šablona:Složitá šablona
r|Šablona:Infobox okres|Šablona:Infobox - okres
r|Šablona:Lang-cs|Šablona:Jaz
r|Šablona:Faktická přesnost|Šablona:Přesnost
r|Šablona:Vyznamenat/obrázek/54060|Šablona:Vyznamenat/obrázek/54015
r|Šablona:Japonské letadlové lodě třídy Šókaku|Šablona:Letadlové lodě japonského císařského námořnictva
r|Šablona:Spoiler konec|Šablona:Endspoiler
r|Šablona:Citát bible|Šablona:Citace bible
r|Šablona:Cot|Šablona:Collapse top
r|Šablona:Vyznamenat/obrázek/54030|Šablona:Vyznamenat/obrázek/54012
r|Šablona:Dějiny objektu/Dokumentace|Šablona:Dějiny objektu/doc
r|Šablona:Infobox letadlo|Šablona:Infobox - letadlo
r|Šablona:Vikariáty Diecéze litoměřické|Šablona:Vikariáty litoměřické diecéze
r|Šablona:Římskokatolické farnosti Děkanství tišnovského|Šablona:Farnosti Děkanátu Tišnov
r|Šablona:Sl-start|Šablona:Col-begin
r|Šablona:Citace Bible|Šablona:Citace bible
r|Šablona:Zpochybněno|Šablona:Celkově zpochybněno
r|Šablona:Gutenberg author|Šablona:Gutenberg autor
r|Šablona:VfD|Šablona:AfD
r|Šablona:Dálnice most|Šablona:Most
r|Šablona:Středoamerické státy|Šablona:Mapa Střední Ameriky
r|Šablona:Infobox Atlet|Šablona:Infobox - atlet
r|Šablona:Seznam epizod|Šablona:Seznam dílů
r|Šablona:Commonscat species|Šablona:Linkspecies
r|Šablona:Infobox Francouzský departement|Šablona:Infobox - francouzský departement
r|Šablona:LocMap USA Nevada|Šablona:LocMap Nevada
r|Šablona:Facebook osoba/doc|Šablona:Facebook/doc
r|Šablona:Předsednictvo SFRJ 1974 - 1979|Šablona:Předsednictvo SFRJ 1974–1979
r|Šablona:Kanály BBC|Šablona:British Broadcasting Corporation
r|Šablona:LocMap Nizozemí Gelderland|Šablona:LocMap Gelderland
r|Šablona:Wikisource2|Šablona:Wikizdroje2
r|Šablona:Oscar - nejlepší herečka 2001-2020|Šablona:Oscar – nejlepší herečka 2001–2020
r|Šablona:Vfd-oznámení/doc|Šablona:Afd-oznámení/doc
r|Šablona:Praha|Šablona:Město Praha
r|Šablona:Fact|Šablona:Fakt
r|Šablona:To do|Šablona:Úkoly
r|Šablona:Dánští králové|Šablona:Dánští panovníci
r|Šablona:AOPK|Šablona:Aopk
r|Šablona:The concretes|Šablona:The Concretes
r|Šablona:LocMap Šrí Lanka|Šablona:LocMap Srí Lanka
r|Šablona:Done|Šablona:Hotovo
r|Šablona:Mistři HME běh na 60 m ženy|Šablona:Mistryně HME běh na 60 m ženy
r|Šablona:Manfred Mann`s Earth Band|Šablona:Manfred Mann's Earth Band
r|Šablona:Košice|Šablona:Město Košice
r|Šablona:Kláštery na Krétě|Šablona:Kláštery a hrady na Krétě
r|Šablona:Uživatel|Šablona:Wikipedista
r|Šablona:Oscar - nejlepší herec 1927-1940|Šablona:Oscar – nejlepší herec 1927–1940
r|Šablona:Refaktorizace|Šablona:Refaktorizováno
r|Šablona:Vyznamenat/název/54040|Šablona:Vyznamenat/název/54013
r|Šablona:User SUL|Šablona:Uživatel SUL
r|Šablona:OFC Nations Cup|Šablona:Oceánský pohár národů
r|Šablona:Vyznamenat/obrázek/54010|Šablona:Vyznamenat/obrázek/54011
r|Šablona:Stop chat|Šablona:Stop-chat
r|Šablona:Polská hokejová liga|Šablona:Polská liga ledního hokeje
r|Šablona:Nositelé Nobelovy ceny za fyziku 1901-1925|Šablona:Nositelé Nobelovy ceny za fyziku 1901–1925
r|Šablona:Merge|Šablona:Sloučit
r|Šablona:Ping|Šablona:Odpověď
r|Šablona:Wikispecies|Šablona:Wikidruhy
r|Šablona:Citace webzinu|Šablona:Citace elektronického periodika
r|Šablona:Infobox SŠ|Šablona:Infobox - střední škola
r|Šablona:Překlady v LN|Šablona:Překlady v Letopisech Narnie
r|Šablona:Kratší příběhy Arthura C. Clarka|Šablona:Krátká literární díla Arthura C. Clarka
r|Šablona:Infobox Singl|Šablona:Infobox - singl
r|Šablona:Obec Plasy|Šablona:Město Plasy
r|Šablona:Infobox Chronologie|Šablona:Infobox - chronologie
r|Šablona:Fbw|Šablona:Infobox Ročník fotbalového turnaje/Fbw
r|Šablona:Fb cl2 team|Šablona:Fb cl2 header navbar/Fb cl2 team
r|Šablona:Fbwu|Šablona:Infobox Ročník fotbalového turnaje/Fbwu
r|Šablona:Commonsspecies/doc|Šablona:Linkspecies/doc
r|Šablona:EU-komise-Barroso|Šablona:EU-komise-Barroso1
r|Šablona:Česká bible|Šablona:České překlady Bible
r|Šablona:Doplnit zdroj|Šablona:Doplňte zdroj
r|Šablona:Football squad player|Šablona:Fotbalová soupiska hráč
r|Šablona:Commons category|Šablona:Commonscat
r|Šablona:Oscar - nejlepší film 1927-1940|Šablona:Oscar – nejlepší film 1927–1940
r|Šablona:Infobox soud|Šablona:Infobox - soud
r|Šablona:Ihj|Šablona:Lhj
r|Šablona:Cob|Šablona:Collapse bottom
r|Šablona:POV kategorie|Šablona:NPOV kategorie
r|Šablona:Seznam léčivých rostlin/C|Seznam léčivých rostlin (C)
r|Šablona:LocMap Štýrsko|Šablona:LocMap Rakousko Štýrsko
r|Šablona:Seznam sérií/doc|Šablona:Seznam řad/doc
r|Šablona:Česko|Šablona:Administrativní dělení Česka
r|Šablona:Zdroj?|Šablona:Doplňte zdroj
r|Šablona:Nositelé Nobelovy ceny míru 1901-1925|Šablona:Nositelé Nobelovy ceny míru 1901–1925
r|Šablona:Oscar - nejlepší film 1941-1960|Šablona:Oscar – nejlepší film 1941–1960
r|Šablona:Poslouchej|Šablona:Poslech
r|Šablona:Italské bitevní lodě třídy Vittorio Veneto|Šablona:Italské bitevní lodě třídy Littorio
r|Šablona:Infobox judoka|Šablona:Infobox - judista
r|Šablona:Infobox umělec|Šablona:Infobox - umělec
r|Šablona:Infobox reliéf|Šablona:Infobox - reliéf
r|Šablona:Re|Šablona:Odpověď
r|Šablona:Infobox Software|Šablona:Infobox - software
r|Šablona:Oscar - nejlepší režie 1981-2000|Šablona:Oscar – nejlepší režie 1981–2000
r|Šablona:Vánoce (témata)|Šablona:Témata Vánoc
r|Šablona:Stát na OH rok|Šablona:Infobox Země na olympijských hrách
r|Šablona:P-hl-jme|Šablona:P-jme
r|Šablona:Infobox královna|Šablona:Infobox panovnice
r|Šablona:Citace konference|Šablona:Citace sborníku
r|Šablona:Volby 2000-2020|Šablona:Volby 2000–2020
r|Šablona:Československá volejbalová liga žen 1930-1992|Šablona:Československá volejbalová liga žen
r|Šablona:Infobox Hokejista|Šablona:Infobox - hokejista
r|Šablona:Nereferencováno|Šablona:Neověřeno
r|Šablona:Citát bible/doc|Šablona:Citace bible/doc
r|Šablona:Oscar - nejlepší herečka ve vedlejší roli 1981-2000|Šablona:Oscar – nejlepší herečka ve vedlejší roli 1981–2000
r|Šablona:Autoritní kontrola/AUT|Šablona:Autoritní data/AUT
r|Šablona:Infobox Hudební umělec|Šablona:Infobox - hudební umělec
r|Šablona:Stargate-témata|Šablona:Hvězdná brána - témata
r|Šablona:ZOH 1920 - lední hokej - ČSR|Šablona:LOH 1920 - lední hokej - ČSR
r|Šablona:Diskuze o smazání|Šablona:AfD
r|Šablona:Infobox haploskupina|Šablona:Infobox - haploskupina
r|Šablona:Přejmenovat|Šablona:Přesunout
r|Šablona:Britské torpédoborce třídy H|Šablona:Britské torpédoborce třídy G a H
