wikiStats|el

redirects|1161
r|Πρότυπο:Μάχες του Κορινθιακού πολέμου|Πρότυπο:Μάχες του Κορινθιακού Πολέμου
r|Πρότυπο:Track listing/Track/τεκμηρίωση|Πρότυπο:Tracklisting/Track/τεκμηρίωση
r|Πρότυπο:Ru icon|Πρότυπο:Ru
r|Πρότυπο:GER|Πρότυπο:DEU
r|Πρότυπο:Α.Ο. Πανηλειακός|Πρότυπο:Πανηλειακός
r|Πρότυπο:MON|Πρότυπο:MCO
r|Πρότυπο:Αρης Λεμεσού|Πρότυπο:Άρης Λεμεσού
r|Πρότυπο:Υποδιαίρεσεις Αστρονομίας|Πρότυπο:Υποδιαιρέσεις Αστρονομίας
r|Πρότυπο:Κλασσικοί ρυθμοί|Πρότυπο:Κλασικοί ρυθμοί
r|Πρότυπο:User sl|Πρότυπο:Χρήστης sl
r|Πρότυπο:Alliance '90/The Greens/meta/shortname|Πρότυπο:Συμμαχία '90/Οι Πράσινοι/meta/shortname
r|Πρότυπο:Οθωμανικά Μνημεία στη Θράκη|Πρότυπο:Μνημεία Οθωμανικής Περιόδου στη Θράκη
r|Πρότυπο:Πληροφορίες Κυβερνητικού φορέα|Πρότυπο:Πληροφορίες κυβερνητικού φορέα
r|Πρότυπο:NGC 2500-2999|Πρότυπο:NGC 2500 - 2999
r|Πρότυπο:Α.Ε. Λεμεσού|Πρότυπο:ΑΕΛ Λεμεσού
r|Πρότυπο:Καταρχαιοζωικός αιώνας|Πρότυπο:Καταρχαιοζωικός μεγααιώνας
r|Πρότυπο:Χρήστης Σκάκι|Πρότυπο:Χρήστης σκάκι
r|Πρότυπο:Underlinked|Πρότυπο:Επιμέλεια
r|Πρότυπο:Cadillac|Πρότυπο:Μοντέλα Cadillac
r|Πρότυπο:Pp-semi-template|Πρότυπο:Pp-template
r|Πρότυπο:Περίληψη|Πρότυπο:Πλοκή
r|Πρότυπο:Σχεδιασμένη με Ιnkscape|Πρότυπο:Σχεδιασμένη με Inkscape
r|Πρότυπο:Infobox newspaper|Πρότυπο:Κουτί πληροφοριών εφημερίδας
r|Πρότυπο:Track listing/Track|Πρότυπο:Tracklisting/Track
r|Πρότυπο:Ναί|Πρότυπο:Ναι
r|Πρότυπο:Moons of Saturn|Πρότυπο:Δορυφόροι του Κρόνου
r|Πρότυπο:Πληροφορίες πολιτικής διαμάχης|Πρότυπο:Πληροφορίες συμπλοκής
r|Πρότυπο:Respect - The Unity Coalition/meta/color|Πρότυπο:Respect Party/meta/color
r|Πρότυπο:Γραμμή Κατακώλου - Ολυμπίας|Πρότυπο:Γραμμή Πύργου - Ολυμπίας
r|Πρότυπο:Κλήρος|Πρότυπο:Πληροφορίες Χριστιανού θρησκευτικού λειτουργού
r|Πρότυπο:Cleanup|Πρότυπο:Επιμέλεια
r|Πρότυπο:Citeweb|Πρότυπο:Cite web
r|Πρότυπο:Γλώσσες χρήστων|Πρότυπο:Γλώσσες χρηστών
r|Πρότυπο:Διαστημικό πρόγραμμα Λούνικ|Πρότυπο:Διαστημικό πρόγραμμα Λούνα
r|Πρότυπο:Διαστημόπλοια Πρόγκρες|Πρότυπο:Διαστημόπλοια Προγκρές
r|Πρότυπο:Ταξονομοπλαίσιο|Πρότυπο:Ταξινομοπλαίσιο
r|Πρότυπο:User html|Πρότυπο:Χρήστης html
r|Πρότυπο:User en-5|Πρότυπο:Χρήστης en-5
r|Πρότυπο:Fb team Άρης Αγίας Τριάδας|Πρότυπο:Fb team Α.Π.Ο. Άρης Αγίας Τριάδας
r|Πρότυπο:Πληροφορίες στρατιωτικής συμπλοκής|Πρότυπο:Πληροφορίες στρατιωτικής σύγκρουσης
r|Πρότυπο:USSR|Πρότυπο:URS
r|Πρότυπο:Λεττονίας γεωγραφία-επέκταση|Πρότυπο:Λετονίας γεωγραφία-επέκταση
r|Πρότυπο:Μονή|Πρότυπο:Μονή στην Ελλάδα
r|Πρότυπο:Αττικά Βουνά|Πρότυπο:Βουνά της Αττικής
r|Πρότυπο:Χρήστης Μυθολογία|Πρότυπο:Χρήστης μυθολογία
r|Πρότυπο:Τάξη-ΑΑ|Πρότυπο:Τάξη-Προβεβλημένο
r|Πρότυπο:Documentation|Πρότυπο:Τεκμηρίωση προτύπου
r|Πρότυπο:Σζπ|Πρότυπο:Βιογραφία Ζώντος Προσώπου
r|Πρότυπο:Εκκλησιαστικά αξιώματατης ορθόδοξης Εκκλησίας|Πρότυπο:Εκκλησιαστικά αξιώματα της Ορθόδοξης Εκκλησίας
r|Πρότυπο:GHS09|Πρότυπο:GHS environment
r|Πρότυπο:User en-2|Πρότυπο:Χρήστης en-2
r|Πρότυπο:S-line/ΟΣΕ right/Αθήνα - Θεσσαλονίκη|Πρότυπο:S-line/ΤΡΑΙΝΟΣΕ right/Αθήνα - Θεσσαλονίκη
r|Πρότυπο:ΕίδηΤζαζ|Πρότυπο:Είδη Τζαζ
r|Πρότυπο:NCA|Πρότυπο:NIC
r|Πρότυπο:Conservation status|Πρότυπο:Κατάσταση διατήρησης
r|Πρότυπο:GHS04|Πρότυπο:GHS gas cylinder
r|Πρότυπο:GAM|Πρότυπο:GMB
r|Πρότυπο:Θρησκειολογία|Πρότυπο:Θρησκειολογία-επέκταση
r|Πρότυπο:Bk|Πρότυπο:Εκα
r|Πρότυπο:Έργο Ζωγραφικής|Πρότυπο:Έργο τέχνης
r|Πρότυπο:Ελληνικά περιφερειακά κόμματα|Πρότυπο:Ελληνικά αντιπροσωπευόμενα κόμματα
r|Πρότυπο:Audio|Πρότυπο:Ήχος
r|Πρότυπο:Fb team Εθνικός Ανάληψης|Πρότυπο:Fb team Α.Ο. Εθνικός Ανάληψης
r|Πρότυπο:ΜετρόΑθήνας2|Πρότυπο:Γραμμή 2 Μετρό Αθήνας
r|Πρότυπο:Ελλάδα-eurovision|Πρότυπο:Ελλάδα-Γιουροβίζιον
r|Πρότυπο:LES|Πρότυπο:LSO
r|Πρότυπο:Γκάλερι/aux|Πρότυπο:Γκαλερί/aux
r|Πρότυπο:Μπούντονοστ Μπανάκε Ντβόρ|Πρότυπο:Μπούντουτσνοστ Μπάνατσκι Ντβορ
r|Πρότυπο:Τέσσερις Φανταστικοί|Πρότυπο:4 Φανταστικοί
r|Πρότυπο:CRO|Πρότυπο:HRV
r|Πρότυπο:Orphan|Πρότυπο:Ορφανό
r|Πρότυπο:Εκκλησιαστικά αξιώματα|Πρότυπο:Εκκλησιαστικά αξιώματα της Ορθόδοξης Εκκλησίας
r|Πρότυπο:Google book|Πρότυπο:Google books
r|Πρότυπο:Family tree|Πρότυπο:Γενεαλογικό δέντρο
r|Πρότυπο:Location map Σκύδρα|Πρότυπο:Location map Πέλλα
r|Πρότυπο:Α.Π.Σ. Ολυμπιακός|Πρότυπο:Ολυμπιακός Πατρών
r|Πρότυπο:Άρθρο βικι Ισπανία|Πρότυπο:Λήμμα βικι Ισπανία
r|Πρότυπο:Επέκταση γεωγραφία Σερβίας|Πρότυπο:Σερβία-επέκταση
r|Πρότυπο:Fb team Α.Ο. Χανίων|Πρότυπο:Fb team Α.Ο. Χανιά
r|Πρότυπο:Πληροφορίες διαστημοπλοίου|Πρότυπο:Διαστημική αποστολή
r|Πρότυπο:Βιογραφία ζώντος προσώπου|Πρότυπο:Βιογραφία Ζώντος Προσώπου
r|Πρότυπο:FIJ|Πρότυπο:FJI
r|Πρότυπο:IRLf|Πρότυπο:IRL
r|Πρότυπο:Τμήματα Πανελληνίου Γ.Σ.|Πρότυπο:Τμήματα Πανελλήνιου Γ.Σ.
r|Πρότυπο:Babel-3|Πρότυπο:Βαβέλ
r|Πρότυπο:Libertarian Party (United States)/meta/shortname|Πρότυπο:Ελευθεριακό Κόμμα (ΗΠΑ)/meta/shortname
r|Πρότυπο:Ενότητα-επέκταση|Πρότυπο:Επέκταση ενότητας
r|Πρότυπο:Infobox musical artist|Πρότυπο:Κουτί πληροφοριών μουσικού
r|Πρότυπο:Αποτίμηση Ζωτικών Άρθρων|Πρότυπο:Επιχείρηση Ζωτικά Λήμματα
r|Πρότυπο:Επαγγελματίες Παλαιστές|Πρότυπο:Επαγγελματίες Παλαιστές του WWE
